iter	RMSE
0	0.5382341545
1	0.5371000056
2	0.5361736964
3	0.5354033814
4	0.5347901906
5	0.5342716915
6	0.5338640863
7	0.5335075303
8	0.5332182483
9	0.5329613166
10	0.5327539764
11	0.5325803127
12	0.5324447704
13	0.5323142947
14	0.5322099663
15	0.5319765119
16	0.5319039599
17	0.5318402312
18	0.5315093411
19	0.5312510929
20	0.5311313595
21	0.5310245112
22	0.530971798
23	0.5309297188
24	0.5307987354
25	0.5307023394
26	0.5306704957
27	0.530620027
28	0.5305553936
29	0.5304793502
30	0.5303832452
31	0.5303541125
32	0.5302345534
33	0.5301756673
34	0.5301021423
35	0.5300370599
36	0.5299724139
37	0.5299263188
38	0.5298800477
39	0.5298489758
40	0.5298224421
41	0.529806515
42	0.5297162629
43	0.5296614819
44	0.5296261694
45	0.5296105879
46	0.5295899325
47	0.5295458811
48	0.5294621688
49	0.5294205503
50	0.5294072876
51	0.5293720372
52	0.5293635747
53	0.5293229837
54	0.5292806476
55	0.5292663351
56	0.5292338877
57	0.5292029429
58	0.5291693876
59	0.5291609421
60	0.529106533
61	0.5290148038
62	0.5290061687
63	0.5289649509
64	0.5289370244
65	0.5289092713
66	0.5288488351
67	0.5288332523
68	0.5288166259
69	0.5288097761
70	0.5287839227
71	0.5287643333
72	0.528734194
73	0.5287039758
74	0.528696826
75	0.5286681339
76	0.5286497477
77	0.5286270626
78	0.528607067
79	0.52859905
80	0.5285712907
81	0.5285385627
82	0.528505262
83	0.5285032101
84	0.5284804588
85	0.5284734024
86	0.5284526995
87	0.52841673
88	0.5284057042
89	0.5283946413
90	0.5283325092
91	0.5283247055
92	0.528316138
93	0.5282947274
94	0.5282933185
95	0.5282739393
96	0.5282693889
97	0.5282683422
98	0.5282633323
99	0.52824477
