iter	Passed	Remaining
0	76	7621
1	147	7222
2	217	7028
3	286	6864
4	403	7675
5	497	7792
6	657	8735
7	764	8792
8	901	9118
9	1027	9249
10	1209	9786
11	1322	9700
12	1438	9626
13	1611	9900
14	1708	9681
15	1798	9441
16	1919	9369
17	2003	9125
18	2079	8865
19	2157	8628
20	2269	8538
21	2372	8410
22	2453	8212
23	2631	8334
24	2753	8260
25	2845	8097
26	2920	7896
27	2994	7699
28	3101	7594
29	3210	7490
30	3360	7479
31	3456	7346
32	3556	7220
33	3661	7108
34	3752	6968
35	3839	6825
36	3916	6669
37	3998	6524
38	4182	6542
39	4292	6438
40	4371	6291
41	4446	6140
42	4537	6014
43	4727	6016
44	4813	5883
45	4886	5736
46	4970	5605
47	5059	5481
48	5147	5357
49	5232	5232
50	5306	5098
51	5518	5094
52	5588	4956
53	5672	4831
54	5743	4698
55	5822	4574
56	5912	4460
57	5998	4343
58	6073	4220
59	6142	4095
60	6236	3987
61	6424	3937
62	6502	3818
63	6590	3707
64	6674	3594
65	6786	3496
66	6874	3385
67	6953	3272
68	7028	3157
69	7113	3048
70	7312	2986
71	7402	2878
72	7527	2784
73	7655	2689
74	7790	2596
75	7899	2494
76	7976	2382
77	8074	2277
78	8186	2176
79	8265	2066
80	8351	1958
81	8438	1852
82	8545	1750
83	8702	1657
84	8787	1550
85	8861	1442
86	8944	1336
87	9049	1234
88	9151	1131
89	9257	1028
90	9340	923
91	9444	821
92	9532	717
93	9628	614
94	9715	511
95	9808	408
96	10009	309
97	10084	205
98	10159	102
99	10285	0
